poll_time_utc,entities_seen,rows_written,status
2026-09-21T18:44:06.904483+00:00,278,162,ok
2026-09-21T18:45:38.072834+00:00,282,165,ok
2026-09-21T18:47:09.396421+00:00,278,165,ok
2026-09-21T18:48:40.957653+00:00,279,165,ok
2026-09-21T18:50:12.030211+00:00,281,163,ok
2026-09-21T22:15:20.001995+00:00,506,458,ok
2026-09-21T22:16:51.228134+00:00,507,462,ok
2026-09-21T22:18:22.628025+00:00,507,459,ok
2026-09-21T22:19:53.906557+00:00,511,461,ok
2026-09-21T22:21:25.090114+00:00,514,463,ok
2026-09-22T00:51:42.777670+00:00,501,282,ok
2026-09-22T00:53:14.503019+00:00,500,280,ok
2026-09-22T00:54:46.252459+00:00,501,278,ok
2026-09-22T00:56:17.689658+00:00,508,277,ok
2026-09-22T00:57:49.443161+00:00,505,272,ok
2026-09-22T05:29:42.406972+00:00,553,311,ok
2026-09-22T05:31:14.209926+00:00,551,314,ok
2026-09-22T05:32:46.191033+00:00,553,312,ok
2026-09-22T05:34:17.955267+00:00,553,313,ok
2026-09-22T05:35:49.709583+00:00,553,312,ok
2026-09-22T10:13:32.179369+00:00,545,234,ok
2026-09-22T10:15:03.887292+00:00,544,235,ok
2026-09-22T10:16:35.232615+00:00,542,232,ok
2026-09-22T10:18:06.498722+00:00,545,233,ok
2026-09-22T10:19:38.102622+00:00,546,238,ok
2026-09-22T14:53:37.641583+00:00,397,54,ok
2026-09-22T14:55:09.423017+00:00,396,49,ok
2026-09-22T14:56:40.902273+00:00,395,48,ok
2026-09-22T14:58:12.684393+00:00,395,46,ok
2026-09-22T14:59:44.260395+00:00,395,45,ok
