poll_time_utc,entities_seen,rows_written,status
2026-09-04T17:39:55.349835+00:00,176,36,ok
2026-09-04T17:41:26.499199+00:00,176,35,ok
2026-09-04T17:42:57.707226+00:00,179,38,ok
2026-09-04T17:44:28.912928+00:00,182,40,ok
2026-09-04T17:46:00.025476+00:00,180,40,ok
2026-09-04T19:50:29.206631+00:00,245,96,ok
2026-09-04T19:52:00.973261+00:00,245,99,ok
2026-09-04T19:53:32.302395+00:00,247,94,ok
2026-09-04T19:55:03.871324+00:00,245,96,ok
2026-09-04T19:56:35.244451+00:00,246,96,ok
2026-09-04T21:52:01.254610+00:00,274,111,ok
2026-09-04T21:53:32.544211+00:00,280,108,ok
2026-09-04T21:55:03.541581+00:00,286,112,ok
2026-09-04T21:56:34.723494+00:00,285,116,ok
2026-09-04T21:58:05.735063+00:00,283,116,ok
2026-09-04T23:26:14.903591+00:00,298,129,ok
2026-09-04T23:27:46.548937+00:00,299,129,ok
2026-09-04T23:29:18.006051+00:00,294,125,ok
2026-09-04T23:30:49.329030+00:00,294,122,ok
2026-09-04T23:32:20.821627+00:00,290,122,ok
2026-09-05T01:11:19.977225+00:00,303,130,ok
2026-09-05T01:12:51.329302+00:00,305,131,ok
2026-09-05T01:14:22.552383+00:00,307,138,ok
2026-09-05T01:15:53.974118+00:00,309,141,ok
2026-09-05T01:17:25.064277+00:00,308,139,ok
2026-09-05T05:43:56.202920+00:00,318,173,ok
2026-09-05T05:45:28.709580+00:00,316,170,ok
2026-09-05T05:47:00.609176+00:00,322,174,ok
2026-09-05T05:48:32.452681+00:00,323,173,ok
2026-09-05T05:50:04.329162+00:00,323,164,ok
